InvoiceNo,Revenue,IsAnomaly
581483,168469.6,True
541431,77183.6,True
574941,52940.94,True
576365,50653.91,True
556444,38970.0,True
567423,31698.16,True
556917,22775.93,True
572209,22206.0,True
567381,22104.8,True
563614,21880.44,True
548203,21627.72,True
550461,21535.9,True
572035,20277.92,True
563076,19150.66,True
562439,18841.48,True
539750,18745.86,True
573585,16874.579999999998,True
541220,16774.72,True
545475,16726.84,True
562955,16677.260000000002,True
556255,16488.0,True
537659,15885.49,True
548011,15719.56,True
569650,15643.77,True
540815,15160.900000000001,True
552883,14415.74,True
543989,14022.92,True
569570,13760.02,True
537632,13541.33,True
561901,13464.26,True
558526,13355.4,True
566934,13249.94,True
563590,13031.5,True
540689,12797.52,True
538877,12681.58,True
538351,12633.67,True
562789,12341.21,True
544479,11956.1,True
553546,11924.800000000001,True
537640,11540.34,True
547708,11343.199999999999,True
560445,11134.34,True
A563185,11062.06,True
555920,10999.52,True
569815,10992.96,True
581175,10901.54,True
536982,10661.69,True
578305,10584.77,True
541206,10389.06,True
581457,10363.82,True
561633,10303.95,True
567280,10267.88,True
558262,10174.94,True
546789,10065.0,True
537657,9639.12,True
554366,9468.48,True
563074,9349.72,True
552978,9341.26,True
580729,9020.83,True
554827,8980.880000000001,True
580727,8935.98,True
556726,8915.52,True
573153,8895.76,True
553368,8895.66,True
560580,8801.51,True
558475,8705.89,True
539731,8520.92,True
576339,8425.539999999999,True
581105,8345.2,True
566557,8281.12,True
537434,8223.4,True
581219,8159.03,True
551697,8142.75,True
571281,8132.31,True
578149,8124.25,True
575508,8111.2,True
579196,8107.72,True
541711,8060.3,True
578140,7952.679999999999,True
540818,7837.5,True
570557,7810.5599999999995,True
558775,7786.0,True
541570,7722.04,True
581492,7689.23,True
537240,7660.4800000000005,True
570097,7630.5599999999995,True
580610,7574.48,True
541789,7544.91,True
578833,7483.83,True
574295,7427.32,True
572196,7398.54,True
537237,7335.45,True
565475,7335.06,True
569343,7298.76,True
574328,7271.34,True
538071,7268.65,True
536876,7257.08,True
580115,7225.78,True
561051,7138.12,True
575219,7059.54,True
577150,7043.69,True
540267,7011.38,True
580612,7000.88,True
581217,6947.75,True
578270,6936.5199999999995,True
539101,6930.0,True
536592,6915.65,True
580730,6870.2,True
566935,6870.0,True
580367,6821.21,True
578746,6778.7300000000005,True
579777,6769.0599999999995,True
581439,6637.59,True
538349,6602.3099999999995,True
561655,6591.6,True
563563,6578.08,True
543099,6549.12,True
564650,6429.639999999999,True
544480,6323.38,True
537638,6293.86,True
538177,6272.01,True
576374,6260.9,True
578344,6215.59,True
574740,6207.67,True
556415,6207.08,True
577844,6167.53,True
574293,6162.620000000001,True
543379,6155.72,True
580983,6114.03,True
576837,6081.09,True
537823,6073.71,True
571751,6068.0599999999995,True
581023,6061.34,True
577358,5957.66,True
539437,5946.49,True
555400,5913.9,True
569010,5867.08,True
579508,5805.01,True
543518,5735.24,True
574294,5727.0,True
566931,5725.0,True
557263,5683.06,True
581498,5664.889999999999,True
567385,5639.52,True
565150,5590.67,True
565847,5557.66,True
578347,5526.53,True
536544,5521.14,True
554845,5518.68,True
547812,5513.32,True
576644,5508.5199999999995,True
574092,5500.38,True
558776,5496.0,True
577747,5490.24,True
560729,5433.57,True
549027,5424.0,True
553470,5410.0599999999995,True
557125,5405.48,True
579297,5402.23,True
580665,5401.98,True
538191,5375.28,True
581238,5370.55,True
576840,5368.13,True
571653,5355.68,True
567290,5350.4,True
538524,5344.98,True
579187,5333.5199999999995,True
545713,5307.65,True
571318,5296.96,True
574352,5292.72,True
575138,5269.78,True
539958,5262.06,True
564230,5234.73,True
577078,5217.83,True
553607,5176.12,True
569255,5164.66,True
562348,5162.74,True
558777,5078.83,True
578827,5078.0199999999995,True
564221,5064.8,True
